Bloom Level,Learning Objective,Ch 1: The Most Misunderstood Molecule,Ch 2: From Brain to Bloodstream: Building a Stress Hormone,Ch 3: The Daily Tide: Cortisol's Rhythm and the Morning Surge,Ch 4: Built for the Sprint: The Beautiful Logic of Acute Stress,Ch 5: When the Loan Comes Due: Chronic Stress and Allostatic Load,"Ch 6: Fuel, Fat, and Muscle: Cortisol and Metabolism",Ch 7: Why Stress Makes You Sick: Cortisol and the Immune System,Ch 8: The Gut Feeling: The Brain-Gut-HPA Axis,Ch 9: Cortisol After Dark: Sleep and the Circadian Loop,"Ch 10: The Stressed Brain: Cortisol, Mood, and Memory","Ch 11: Adapt or Break Down: Cortisol, Training, and Recovery",Ch 12: Fatigued Glands and Detox Myths: What the Evidence Actually Says,Ch 13: Working With the System: Evidence-Based Stress Management
understand,Distinguish cortisol's essential physiological roles from popular misconceptions about it as a 'stress toxin',I,,,D,,,,,,,,M,
understand,Explain the HPA axis cascade from CRH release through cortisol synthesis and negative feedback regulation,,I,D,,M,,,,,,,,
analyze,Analyze how the diurnal cortisol rhythm is generated and regulated by circadian mechanisms,,,I,,,,,,D,,,,M
evaluate,Evaluate the adaptive design of acute stress responses and their evolutionary purpose,,,,I,,,,,,,D,,M
apply,Apply the concept of allostatic load to explain how chronic stress creates cumulative physiological wear,,,,,I,D,,,,,,M,
analyze,"Analyze cortisol's metabolic effects on gluconeogenesis, insulin signaling, and fat distribution patterns",,,,,,I,D,,,,,M,
understand,Distinguish between acute immune modulation and chronic immunosuppression caused by sustained cortisol elevation,,,,,,,I,,,D,,,M
understand,Explain the bidirectional brain-gut-HPA axis and how stress alters gastrointestinal barrier function and inflammation,,,,,D,,,I,,,,,M
analyze,Analyze the reciprocal relationship between cortisol's circadian rhythm and sleep quality,,,I,,,,,,D,,,,M
evaluate,"Evaluate how cortisol affects memory consolidation, hippocampal function, and emotional regulation across acute versus chronic timescales",,,,,,,,,,I,D,,M
apply,Apply HPA axis physiology to design recovery strategies for exercise-induced stress and overtraining prevention,,,,I,,,,,,,D,,M
evaluate,Evaluate evidence-based versus pseudoscientific cortisol testing and critique the 'adrenal fatigue' hypothesis,,I,,,,,,,,,,D,M
create,Create evidence-based stress management interventions targeting specific HPA axis mechanisms and individual contexts,,,,,I,,,,,,D,,M
analyze,"Analyze how predictability, control, and social support buffer the HPA axis response to stressors",,,,I,,,,,,,,,M
